"LOC_ID","X_Coord","Y_Coord","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1,446672.597837318,3960581.17658554,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,446734.185782633,3960588.45894414,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
3,446767.424269835,3960510.17369407,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4,446655.703781301,3960477.12771992,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,446531.729076022,3960540.1000321,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,446550.117755951,3960532.22479559,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
7,446610.885972793,3960568.34957099,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1
